sel,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
172,Sneaky Driver,Bill Kiley,indie game soundtrack,2019,2024‑04‑22,103,67,61,-7,11,62,280,3,3,39
173,Innocence Glitched (Basement),Mudeth,bangalore indie,2016,2024‑04‑19,120,67,55,-7,12,23,329,1,3,39
174,Timeline,Chikoi The Maid,maidcore,2023,2024‑04‑19,90,84,54,-7,12,14,307,0,5,11
175,Idk,Madoi The Maid,maidcore,2022,2024‑04‑19,180,61,19,-16,13,13,176,0,6,23
176,hateful,Kaitai the Maid,maidcore,2016,2024‑04‑19,160,88,27,-6,14,42,152,0,7,21
177,Beautiful Things,Benson Boone,singer-songwriter pop,2024,2024‑04‑19,105,47,47,-6,14,22,180,15,6,90
178,Espresso,Sabrina Carpenter,pop,2024,2024‑04‑19,104,76,70,-5,19,69,175,11,3,94
179,One Way Out,Brian Tuey,video game music,2013,2024‑04‑19,120,30,22,-16,14,4,85,44,4,16
180,Leave Me Alone,I DONT KNOW HOW BUT THEY FOUND ME,alt z,2020,2024‑04‑17,104,89,54,-3,32,57,216,0,4,52
181,Virtual Riots Idols,Virtual Riots,,2018,2024‑04‑17,130,88,61,-4,60,65,226,7,24,0
182,Heads Will Roll - A-Trak Remix Radio Edit,Yeah Yeah Yeahs,alternative dance,2009,2024‑04‑15,132,81,68,-3,24,87,204,1,8,61
183,Fairy Fountain,Super Guitar Bros,vgm instrumental,2018,2024‑04‑15,143,29,41,-16,9,61,63,97,4,67
184,"7PM (From ""Animal Crossing: New Leaf"")",Moisés Nieto,otacore,2018,2024‑04‑15,132,17,47,-21,14,18,161,98,5,41
185,"Great Fairy Fountain (From ""The Legend of Zelda: Breath of the Wild"") [Piano Version]",Streaming Music Studios,anime score,2019,2024‑04‑15,90,18,51,-19,12,28,101,99,3,40
186,Don't You (Forget About Me),Simple Minds,album rock,1985,2024‑04‑15,111,82,66,-7,6,68,263,17,3,74
187,A Mask of My Own Face,Lemon Demon,indietronica,2014,2024‑04‑15,100,32,81,-12,13,97,211,4,4,51
188,Hayloft II,Mother Mother,canadian indie rock,2022,2024‑04‑12,178,87,33,-5,9,17,215,0,10,74
189,People Eater,Sodikken,otacore,2021,2024‑04‑12,134,20,74,-14,35,89,97,92,8,57
190,One​-​Winged Angel (Final Fantasy VII),Nobuo Uematsu,chiptune,2007,2024‑04‑10,123,53,50,-8,30,25,266,87,4,47
191,Walkin' On The Sun,Smash Mouth,pop rock,1997,2024‑04‑10,123,97,75,-6,15,97,208,35,3,69
192,Cannibal,Tally Hall,ann arbor indie,2011,2024‑04‑10,155,74,50,-7,13,61,208,15,4,55
193,Agony - Instrumental,Scammacist,phonk brasileiro,2022,2024‑04‑08,65,10,22,-20,11,8,301,96,4,49
194,Beautiful Things,Benson Boone,singer-songwriter pop,2024,2024‑04‑08,105,47,47,-6,14,22,180,15,6,87
195,Austin (Boots Stop Workin'),Dasha,,2024,2024‑04‑08,115,67,76,-7,11,74,172,46,5,88
196,rat attack!,justan oval,,2024,2024‑04‑08,160,74,91,-9,7,98,146,0,9,29
197,Everlasting Fun (KinitoPET Song),LongestSoloEver,otacore,2024,2024‑04‑08,173,84,32,-4,11,68,235,3,18,44
198,Disparate Youth,Santigold,alternative dance,2012,2024‑04‑08,152,93,64,-4,22,55,284,1,4,58
199,i like the way you kiss me,Artemas,,2024,2024‑04‑08,152,95,60,-4,8,75,143,0,4,86
200,End of Beginning,Djo,pov: indie,2022,2024‑04‑08,160,45,69,-8,7,91,159,4,6,90
201,My Love Mine All Mine,Mitski,brooklyn indie,2023,2024‑04‑08,114,31,50,-15,16,12,138,87,3,88
202,Night Walker (Linne Theme),Raito,japanese vgm,2014,2024‑04‑08,198,97,14,-8,35,78,300,0,11,43
203,theme of really cool bird,bobacupcake,sillycore,2017,2024‑04‑08,140,54,59,-7,4,80,132,0,7,41
204,Metamodernity,Vansire,bedroom pop,2019,2024‑04‑08,122,54,82,-10,11,83,163,39,4,69
205,i won't run,Keanu Bicol,bedroom r&b,2021,2024‑04‑08,171,69,53,-9,36,77,159,0,4,57
206,help herself,bbno$,canadian hip hop,2021,2024‑04‑08,168,85,61,-8,11,48,189,62,4,59
207,credits song for my death,vivivivivi,weirdcore,2021,2024‑04‑06,140,43,25,-18,10,19,171,81,3,47
208,Boba,Eleanor Kingston,,2021,2024‑04‑05,114,53,85,-9,9,65,181,3,6,3
209,Make You Mine,Madison Beer,pop,2024,2024‑04‑05,123,64,53,-6,24,49,222,22,4,79
210,Konga Conga Kappa,Danny Baranowsky,indie game soundtrack,2015,2024‑04‑05,120,79,70,-9,7,92,113,1,6,37
211,Razormind,Simon Viklund,video game music,2016,2024‑04‑04,125,59,42,-11,11,10,274,0,7,48
212,Octane,Creo,speedrun,2020,2024‑04‑04,168,82,49,-6,13,17,216,0,9,30
213,Crucified - Radio Edit,Army Of Lovers,europop,1991,2024‑04‑03,122,90,60,-10,75,48,214,2,6,59
214,Magic,Pilot,classic uk pop,1974,2024‑04‑03,203,59,39,-7,13,73,186,35,6,60
215,She Swallowed Burning Coals,El Tigr3,darksynth,2013,2024‑04‑03,110,65,64,-8,15,34,279,4,5,44
216,Telephones,Vacations,newcastle nsw indie,2018,2024‑04‑02,75,45,53,-9,11,18,212,0,3,80
217,Ultimate Eternity,Nomak,ambeat,2007,2024‑04‑02,92,83,51,-6,7,51,375,0,6,24
218,"File Select (From ""Super Mario 64"") [Lo-fi Edit]",Besso0,lo-fi vgm,2019,2024‑04‑02,130,38,70,-16,11,35,219,96,4,36
219,aquatic ambience (slowed + reverb),Scizzie,liminal space,2022,2024‑04‑02,112,8,29,-26,12,6,154,90,4,51
220,aruarian dance,Nujabes,downtempo,2004,2024‑04‑02,198,65,59,-8,7,88,250,78,4,64
221,Friday Theme - Crunchy,Uglyburger0,meme,2022,2024‑04‑02,184,86,57,-8,10,43,138,0,6,56
222,Friday Theme,Uglyburger0,meme,2020,2024‑04‑02,94,58,71,-10,10,74,82,7,6,62
223,Cipher,LEMMiNO,,2020,2024‑04‑02,77,52,67,-14,19,44,195,71,4,1
224,"Chemical Plant Zone (From ""Sonic 2"")",Lofi Lia,lo-fi vgm,2020,2024‑04‑02,144,40,77,-19,9,73,187,87,13,26
225,Keep Me Breathing,David Celeste,,2014,2024‑04‑02,140,13,61,-24,10,8,123,97,5,15
226,Fika,Unjaps,corecore,2022,2024‑04‑02,74,7,50,-26,13,41,198,98,3,56
227,Chorégraphie du départ - Instrumental,Daprinski,,2017,2024‑04‑02,0,17,0,-16,10,0,84,88,0,65
228,Crow,김진산,,2022,2024‑04‑02,123,55,72,-11,8,42,206,19,4,45
229,specialist,アトラスサウンドチーム,japanese vgm,2011,2024‑04‑02,128,97,56,-8,33,78,244,1,5,53
230,4:30,Danger,darksynth,2010,2024‑04‑02,129,93,72,-5,9,16,272,1,5,47
231,Make This Right,The Toxic Avenger,electro house,2016,2024‑04‑02,102,77,67,-8,11,10,348,1,4,47
232,DEATHKRUSH,Kordhell,drift phonk,2023,2024‑04‑02,155,100,66,-2,39,75,115,2,10,37
233,Memphis Doom,Kordhell,drift phonk,2021,2024‑04‑02,174,95,51,-2,62,37,154,0,32,44
234,Blood Rushing To My Head,Aeriu Ika,chill breakcore,2023,2024‑04‑02,174,95,37,-5,47,4,200,0,13,0
235,Burning Sands,Boom Kitty,speedrun,2019,2024‑03‑22,142,98,57,-3,6,52,220,0,14,38
236,Flashman's Glass Prison,Apoplexia,vgm remix,2018,2024‑03‑22,172,95,60,-4,48,67,301,0,42,7
237,POSSESSIVE LOVE DISORDER,ZØMB,hardwave,2024,2024‑03‑14,147,99,37,-4,39,25,115,19,22,57
238,Paradise City,Guns N' Roses,glam metal,1987,2024‑03‑13,100,98,27,-6,18,39,406,2,10,79
239,Livin' On A Prayer,Bon Jovi,glam metal,1986,2024‑03‑13,123,89,53,-4,29,79,249,8,3,84
240,Welcome To The Jungle,Guns N' Roses,glam metal,1987,2024‑03‑13,124,99,45,-4,27,32,273,2,9,81
241,Lotta True Crime,Penelope Scott,alt z,2020,2024‑03‑13,159,41,50,-14,11,40,202,33,21,63
